Date,Open,High,Low,Close,Adj Close,Volume
1992-07-03,null,null,null,null,null,null
1992-07-06,null,null,null,null,null,null
1992-07-07,null,null,null,null,null,null
1992-07-08,null,null,null,null,null,null
1992-07-09,null,null,null,null,null,null
1992-07-10,null,null,null,null,null,null
1992-07-13,null,null,null,null,null,null
1992-07-14,null,null,null,null,null,null
1992-07-15,null,null,null,null,null,null
1992-07-16,null,null,null,null,null,null
1992-07-17,null,null,null,null,null,null
1992-07-20,null,null,null,null,null,null
1992-07-21,null,null,null,null,null,null
1992-07-22,null,null,null,null,null,null
1992-07-23,null,null,null,null,null,null
1992-07-24,null,null,null,null,null,null
1992-07-27,null,null,null,null,null,null
1992-07-28,null,null,null,null,null,null
1992-07-29,null,null,null,null,null,null
1992-07-30,null,null,null,null,null,null
1992-07-31,7.207330,7.207330,7.207330,7.207330,2.085239,0
1992-08-03,null,null,null,null,null,null
1992-08-04,null,null,null,null,null,null
1992-08-05,null,null,null,null,null,null
1992-08-06,null,null,null,null,null,null
1992-08-07,null,null,null,null,null,null
1992-08-10,null,null,null,null,null,null
1992-08-11,null,null,null,null,null,null
1992-08-12,null,null,null,null,null,null
1992-08-13,null,null,null,null,null,null
1992-08-14,null,null,null,null,null,null
1992-08-17,null,null,null,null,null,null
1992-08-18,null,null,null,null,null,null
1992-08-19,null,null,null,null,null,null
1992-08-20,null,null,null,null,null,null
1992-08-21,null,null,null,null,null,null
1992-08-24,null,null,null,null,null,null
1992-08-25,null,null,null,null,null,null
1992-08-26,null,null,null,null,null,null
1992-08-27,null,null,null,null,null,null
1992-08-28,null,null,null,null,null,null
1992-08-31,6.866980,6.866980,6.866980,6.866980,1.986768,0
1992-09-01,null,null,null,null,null,null
1992-09-02,null,null,null,null,null,null
1992-09-03,null,null,null,null,null,null
1992-09-04,null,null,null,null,null,null
1992-09-07,null,null,null,null,null,null
1992-09-08,null,null,null,null,null,null
1992-09-09,null,null,null,null,null,null
1992-09-10,null,null,null,null,null,null
1992-09-11,null,null,null,null,null,null
1992-09-14,null,null,null,null,null,null
1992-09-15,null,null,null,null,null,null
1992-09-16,null,null,null,null,null,null
1992-09-17,null,null,null,null,null,null
1992-09-18,null,null,null,null,null,null
1992-09-21,null,null,null,null,null,null
1992-09-22,null,null,null,null,null,null
1992-09-23,null,null,null,null,null,null
1992-09-24,null,null,null,null,null,null
1992-09-25,null,null,null,null,null,null
1992-09-28,null,null,null,null,null,null
1992-09-29,null,null,null,null,null,null
1992-09-30,6.156260,6.156260,6.156260,6.156260,1.781141,0
1992-10-01,null,null,null,null,null,null
1992-10-02,null,null,null,null,null,null
1992-10-05,null,null,null,null,null,null
1992-10-06,null,null,null,null,null,null
1992-10-07,null,null,null,null,null,null
1992-10-08,null,null,null,null,null,null
1992-10-09,null,null,null,null,null,null
1992-10-12,null,null,null,null,null,null
1992-10-13,null,null,null,null,null,null
1992-10-14,null,null,null,null,null,null
1992-10-15,null,null,null,null,null,null
1992-10-16,null,null,null,null,null,null
1992-10-19,null,null,null,null,null,null
1992-10-20,null,null,null,null,null,null
1992-10-21,null,null,null,null,null,null
1992-10-22,null,null,null,null,null,null
1992-10-23,null,null,null,null,null,null
1992-10-26,null,null,null,null,null,null
1992-10-27,null,null,null,null,null,null
1992-10-28,null,null,null,null,null,null
1992-10-29,null,null,null,null,null,null
1992-10-30,5.865960,5.865960,5.865960,5.865960,1.754138,0
1992-11-02,null,null,null,null,null,null
1992-11-03,null,null,null,null,null,null
1992-11-04,null,null,null,null,null,null
1992-11-05,null,null,null,null,null,null
1992-11-06,null,null,null,null,null,null
1992-11-09,null,null,null,null,null,null
1992-11-10,null,null,null,null,null,null
1992-11-11,null,null,null,null,null,null
1992-11-12,null,null,null,null,null,null
1992-11-13,null,null,null,null,null,null
1992-11-16,null,null,null,null,null,null
1992-11-17,null,null,null,null,null,null
1992-11-18,null,null,null,null,null,null
1992-11-19,null,null,null,null,null,null
1992-11-20,null,null,null,null,null,null
1992-11-23,null,null,null,null,null,null
1992-11-24,null,null,null,null,null,null
1992-11-25,null,null,null,null,null,null
1992-11-26,null,null,null,null,null,null
1992-11-27,null,null,null,null,null,null
1992-11-30,6.066170,6.066170,6.066170,6.066170,1.814009,0
1992-12-01,null,null,null,null,null,null
1992-12-02,null,null,null,null,null,null
1992-12-03,null,null,null,null,null,null
1992-12-04,null,null,null,null,null,null
1992-12-07,null,null,null,null,null,null
1992-12-08,null,null,null,null,null,null
1992-12-09,null,null,null,null,null,null
1992-12-10,null,null,null,null,null,null
1992-12-11,null,null,null,null,null,null
1992-12-14,null,null,null,null,null,null
1992-12-15,null,null,null,null,null,null
1992-12-16,null,null,null,null,null,null
1992-12-17,null,null,null,null,null,null
1992-12-18,null,null,null,null,null,null
1992-12-21,null,null,null,null,null,null
1992-12-22,null,null,null,null,null,null
1992-12-23,null,null,null,null,null,null
1992-12-24,null,null,null,null,null,null
1992-12-25,null,null,null,null,null,null
1992-12-28,null,null,null,null,null,null
1992-12-29,null,null,null,null,null,null
1992-12-30,null,null,null,null,null,null
1992-12-31,6.066170,6.066170,6.066170,6.066170,1.814009,0
1993-01-01,null,null,null,null,null,null
1993-01-04,null,null,null,null,null,null
1993-01-05,null,null,null,null,null,null
1993-01-06,null,null,null,null,null,null
1993-01-07,null,null,null,null,null,null
1993-01-08,null,null,null,null,null,null
1993-01-11,null,null,null,null,null,null
1993-01-12,null,null,null,null,null,null
1993-01-13,null,null,null,null,null,null
1993-01-14,null,null,null,null,null,null
1993-01-15,null,null,null,null,null,null
1993-01-18,null,null,null,null,null,null
1993-01-19,null,null,null,null,null,null
1993-01-20,null,null,null,null,null,null
1993-01-21,null,null,null,null,null,null
1993-01-22,null,null,null,null,null,null
1993-01-25,null,null,null,null,null,null
1993-01-26,null,null,null,null,null,null
1993-01-27,null,null,null,null,null,null
1993-01-28,null,null,null,null,null,null
1993-01-29,6.006110,6.006110,6.006110,6.006110,1.796048,0
1993-02-01,null,null,null,null,null,null
1993-02-02,null,null,null,null,null,null
1993-02-03,null,null,null,null,null,null
1993-02-04,null,null,null,null,null,null
1993-02-05,null,null,null,null,null,null
1993-02-08,null,null,null,null,null,null
1993-02-09,null,null,null,null,null,null
1993-02-10,null,null,null,null,null,null
1993-02-11,null,null,null,null,null,null
1993-02-12,null,null,null,null,null,null
1993-02-15,null,null,null,null,null,null
1993-02-16,null,null,null,null,null,null
1993-02-17,null,null,null,null,null,null
1993-02-18,null,null,null,null,null,null
1993-02-19,null,null,null,null,null,null
1993-02-22,null,null,null,null,null,null
1993-02-23,null,null,null,null,null,null
1993-02-24,null,null,null,null,null,null
1993-02-25,null,null,null,null,null,null
1993-02-26,6.736850,6.736850,6.736850,6.736850,2.014566,0
1993-03-01,null,null,null,null,null,null
1993-03-02,null,null,null,null,null,null
1993-03-03,null,null,null,null,null,null
1993-03-04,null,null,null,null,null,null
1993-03-05,null,null,null,null,null,null
1993-03-08,null,null,null,null,null,null
1993-03-09,null,null,null,null,null,null
1993-03-10,null,null,null,null,null,null
1993-03-11,null,null,null,null,null,null
1993-03-12,null,null,null,null,null,null
1993-03-15,null,null,null,null,null,null
1993-03-16,null,null,null,null,null,null
1993-03-17,null,null,null,null,null,null
1993-03-18,null,null,null,null,null,null
1993-03-19,null,null,null,null,null,null
1993-03-22,null,null,null,null,null,null
1993-03-23,null,null,null,null,null,null
1993-03-24,null,null,null,null,null,null
1993-03-25,null,null,null,null,null,null
1993-03-26,null,null,null,null,null,null
1993-03-29,null,null,null,null,null,null
1993-03-30,null,null,null,null,null,null
1993-03-31,7.807940,7.807940,7.807940,7.807940,2.334862,0
1993-04-01,null,null,null,null,null,null
1993-04-02,null,null,null,null,null,null
1993-04-05,null,null,null,null,null,null
1993-04-06,null,null,null,null,null,null
1993-04-07,null,null,null,null,null,null
1993-04-08,null,null,null,null,null,null
1993-04-09,null,null,null,null,null,null
1993-04-12,null,null,null,null,null,null
1993-04-13,null,null,null,null,null,null
1993-04-14,null,null,null,null,null,null
1993-04-15,null,null,null,null,null,null
1993-04-16,null,null,null,null,null,null
1993-04-19,null,null,null,null,null,null
1993-04-20,null,null,null,null,null,null
1993-04-21,null,null,null,null,null,null
1993-04-22,null,null,null,null,null,null
1993-04-23,null,null,null,null,null,null
1993-04-26,null,null,null,null,null,null
1993-04-27,null,null,null,null,null,null
1993-04-28,null,null,null,null,null,null
1993-04-29,null,null,null,null,null,null
1993-04-30,8.188320,8.188320,8.188320,8.188320,2.448610,0
1993-05-03,null,null,null,null,null,null
1993-05-04,null,null,null,null,null,null
1993-05-05,null,null,null,null,null,null
1993-05-06,null,null,null,null,null,null
1993-05-07,null,null,null,null,null,null
1993-05-10,null,null,null,null,null,null
1993-05-11,null,null,null,null,null,null
1993-05-12,null,null,null,null,null,null
1993-05-13,null,null,null,null,null,null
1993-05-14,null,null,null,null,null,null
1993-05-17,null,null,null,null,null,null
1993-05-18,null,null,null,null,null,null
1993-05-19,null,null,null,null,null,null
1993-05-20,null,null,null,null,null,null
1993-05-21,null,null,null,null,null,null
1993-05-24,null,null,null,null,null,null
1993-05-25,null,null,null,null,null,null
1993-05-26,null,null,null,null,null,null
1993-05-27,null,null,null,null,null,null
1993-05-28,null,null,null,null,null,null
1993-05-31,8.348490,8.348490,8.348490,8.348490,2.496506,0
1993-06-01,null,null,null,null,null,null
1993-06-02,null,null,null,null,null,null
1993-06-03,null,null,null,null,null,null
1993-06-04,null,null,null,null,null,null
1993-06-07,null,null,null,null,null,null
1993-06-08,null,null,null,null,null,null
1993-06-09,null,null,null,null,null,null
1993-06-10,null,null,null,null,null,null
1993-06-11,null,null,null,null,null,null
1993-06-14,null,null,null,null,null,null
1993-06-15,null,null,null,null,null,null
1993-06-16,null,null,null,null,null,null
1993-06-17,null,null,null,null,null,null
1993-06-18,null,null,null,null,null,null
1993-06-21,null,null,null,null,null,null
1993-06-22,null,null,null,null,null,null
1993-06-23,null,null,null,null,null,null
1993-06-24,null,null,null,null,null,null
1993-06-25,null,null,null,null,null,null
1993-06-28,null,null,null,null,null,null
1993-06-29,null,null,null,null,null,null
1993-06-30,8.698840,8.698840,8.698840,8.698840,2.601274,0
1993-07-01,null,null,null,null,null,null
1993-07-02,null,null,null,null,null,null
1993-07-05,null,null,null,null,null,null
1993-07-06,null,null,null,null,null,null
1993-07-07,null,null,null,null,null,null
1993-07-08,null,null,null,null,null,null
1993-07-09,null,null,null,null,null,null
1993-07-12,null,null,null,null,null,null
1993-07-13,null,null,null,null,null,null
1993-07-14,null,null,null,null,null,null
1993-07-15,null,null,null,null,null,null
1993-07-16,null,null,null,null,null,null
1993-07-19,null,null,null,null,null,null
1993-07-20,null,null,null,null,null,null
1993-07-21,null,null,null,null,null,null
1993-07-22,null,null,null,null,null,null
1993-07-23,null,null,null,null,null,null
1993-07-26,null,null,null,null,null,null
1993-07-27,null,null,null,null,null,null
1993-07-28,null,null,null,null,null,null
1993-07-29,null,null,null,null,null,null
1993-07-30,8.949100,8.949100,8.949100,8.949100,2.676111,0
1993-08-02,null,null,null,null,null,null
1993-08-03,null,null,null,null,null,null
1993-08-04,null,null,null,null,null,null
1993-08-05,null,null,null,null,null,null
1993-08-06,null,null,null,null,null,null
1993-08-09,null,null,null,null,null,null
1993-08-10,null,null,null,null,null,null
1993-08-11,null,null,null,null,null,null
1993-08-12,null,null,null,null,null,null
1993-08-13,null,null,null,null,null,null
1993-08-16,null,null,null,null,null,null
1993-08-17,null,null,null,null,null,null
1993-08-18,null,null,null,null,null,null
1993-08-19,null,null,null,null,null,null
1993-08-20,null,null,null,null,null,null
1993-08-23,null,null,null,null,null,null
1993-08-24,null,null,null,null,null,null
1993-08-25,null,null,null,null,null,null
1993-08-26,null,null,null,null,null,null
1993-08-27,null,null,null,null,null,null
1993-08-30,null,null,null,null,null,null
1993-08-31,9.609770,9.609770,9.609770,9.609770,2.873676,0
1993-09-01,null,null,null,null,null,null
1993-09-02,null,null,null,null,null,null
1993-09-03,null,null,null,null,null,null
1993-09-06,null,null,null,null,null,null
1993-09-07,null,null,null,null,null,null
1993-09-08,null,null,null,null,null,null
1993-09-09,null,null,null,null,null,null
1993-09-10,null,null,null,null,null,null
1993-09-13,null,null,null,null,null,null
1993-09-14,null,null,null,null,null,null
1993-09-15,null,null,null,null,null,null
1993-09-16,null,null,null,null,null,null
1993-09-17,null,null,null,null,null,null
1993-09-20,null,null,null,null,null,null
1993-09-21,null,null,null,null,null,null
1993-09-22,null,null,null,null,null,null
1993-09-23,null,null,null,null,null,null
1993-09-24,null,null,null,null,null,null
1993-09-27,null,null,null,null,null,null
1993-09-28,null,null,null,null,null,null
1993-09-29,null,null,null,null,null,null
1993-09-30,9.209360,9.209360,9.209360,9.209360,2.753938,0
1993-10-01,null,null,null,null,null,null
1993-10-04,null,null,null,null,null,null
1993-10-05,null,null,null,null,null,null
1993-10-06,null,null,null,null,null,null
1993-10-07,null,null,null,null,null,null
1993-10-08,null,null,null,null,null,null
1993-10-11,null,null,null,null,null,null
1993-10-12,null,null,null,null,null,null
1993-10-13,null,null,null,null,null,null
1993-10-14,null,null,null,null,null,null
1993-10-15,null,null,null,null,null,null
1993-10-18,null,null,null,null,null,null
1993-10-19,null,null,null,null,null,null
1993-10-20,null,null,null,null,null,null
1993-10-21,null,null,null,null,null,null
1993-10-22,null,null,null,null,null,null
1993-10-25,null,null,null,null,null,null
1993-10-26,null,null,null,null,null,null
1993-10-27,null,null,null,null,null,null
1993-10-28,null,null,null,null,null,null
1993-10-29,10.110300,10.110300,10.110300,10.110300,3.023353,0
1993-11-01,null,null,null,null,null,null
1993-11-02,null,null,null,null,null,null
1993-11-03,null,null,null,null,null,null
1993-11-04,null,null,null,null,null,null
1993-11-05,null,null,null,null,null,null
1993-11-08,null,null,null,null,null,null
1993-11-09,null,null,null,null,null,null
1993-11-10,null,null,null,null,null,null
1993-11-11,null,null,null,null,null,null
1993-11-12,null,null,null,null,null,null
1993-11-15,null,null,null,null,null,null
1993-11-16,null,null,null,null,null,null
1993-11-17,null,null,null,null,null,null
1993-11-18,null,null,null,null,null,null
1993-11-19,null,null,null,null,null,null
1993-11-22,null,null,null,null,null,null
1993-11-23,null,null,null,null,null,null
1993-11-24,null,null,null,null,null,null
1993-11-25,null,null,null,null,null,null
1993-11-26,null,null,null,null,null,null
1993-11-29,null,null,null,null,null,null
1993-11-30,9.429590,9.429590,9.429590,9.429590,2.819795,0
1993-12-01,null,null,null,null,null,null
1993-12-02,null,null,null,null,null,null
1993-12-03,null,null,null,null,null,null
1993-12-06,null,null,null,null,null,null
1993-12-07,null,null,null,null,null,null
1993-12-08,null,null,null,null,null,null
1993-12-09,null,null,null,null,null,null
1993-12-10,null,null,null,null,null,null
1993-12-13,null,null,null,null,null,null
1993-12-14,null,null,null,null,null,null
1993-12-15,null,null,null,null,null,null
1993-12-16,null,null,null,null,null,null
1993-12-17,null,null,null,null,null,null
1993-12-20,null,null,null,null,null,null
1993-12-21,null,null,null,null,null,null
1993-12-22,null,null,null,null,null,null
1993-12-23,null,null,null,null,null,null
1993-12-24,null,null,null,null,null,null
1993-12-27,null,null,null,null,null,null
1993-12-28,null,null,null,null,null,null
1993-12-29,null,null,null,null,null,null
1993-12-30,null,null,null,null,null,null
1993-12-31,9.559720,9.559720,9.559720,9.559720,2.858709,0
1994-01-03,null,null,null,null,null,null
1994-01-04,null,null,null,null,null,null
1994-01-05,null,null,null,null,null,null
1994-01-06,null,null,null,null,null,null
1994-01-07,null,null,null,null,null,null
1994-01-10,null,null,null,null,null,null
1994-01-11,null,null,null,null,null,null
1994-01-12,null,null,null,null,null,null
1994-01-13,null,null,null,null,null,null
1994-01-14,null,null,null,null,null,null
1994-01-17,null,null,null,null,null,null
1994-01-18,null,null,null,null,null,null
1994-01-19,null,null,null,null,null,null
1994-01-20,null,null,null,null,null,null
1994-01-21,null,null,null,null,null,null
1994-01-24,null,null,null,null,null,null
1994-01-25,null,null,null,null,null,null
1994-01-26,null,null,null,null,null,null
1994-01-27,null,null,null,null,null,null
1994-01-28,null,null,null,null,null,null
1994-01-31,9.769930,9.769930,9.769930,9.769930,2.921570,0
1994-02-01,null,null,null,null,null,null
1994-02-02,null,null,null,null,null,null
1994-02-03,null,null,null,null,null,null
1994-02-04,null,null,null,null,null,null
1994-02-07,null,null,null,null,null,null
1994-02-08,null,null,null,null,null,null
1994-02-09,null,null,null,null,null,null
1994-02-10,null,null,null,null,null,null
1994-02-11,null,null,null,null,null,null
1994-02-14,null,null,null,null,null,null
1994-02-15,null,null,null,null,null,null
1994-02-16,null,null,null,null,null,null
1994-02-17,null,null,null,null,null,null
1994-02-18,null,null,null,null,null,null
1994-02-21,null,null,null,null,null,null
1994-02-22,null,null,null,null,null,null
1994-02-23,null,null,null,null,null,null
1994-02-24,null,null,null,null,null,null
1994-02-25,null,null,null,null,null,null
1994-02-28,9.229380,9.229380,9.229380,9.229380,2.759925,0
1994-03-01,null,null,null,null,null,null
1994-03-02,null,null,null,null,null,null
1994-03-03,null,null,null,null,null,null
1994-03-04,null,null,null,null,null,null
1994-03-07,null,null,null,null,null,null
1994-03-08,null,null,null,null,null,null
1994-03-09,null,null,null,null,null,null
1994-03-10,null,null,null,null,null,null
1994-03-11,null,null,null,null,null,null
1994-03-14,null,null,null,null,null,null
1994-03-15,null,null,null,null,null,null
1994-03-16,null,null,null,null,null,null
1994-03-17,null,null,null,null,null,null
1994-03-18,null,null,null,null,null,null
1994-03-21,null,null,null,null,null,null
1994-03-22,null,null,null,null,null,null
1994-03-23,null,null,null,null,null,null
1994-03-24,null,null,null,null,null,null
1994-03-25,null,null,null,null,null,null
1994-03-28,null,null,null,null,null,null
1994-03-29,null,null,null,null,null,null
1994-03-30,null,null,null,null,null,null
1994-03-31,8.338480,8.338480,8.338480,8.338480,2.493513,0
1994-04-01,null,null,null,null,null,null
1994-04-04,null,null,null,null,null,null
1994-04-05,null,null,null,null,null,null
1994-04-06,null,null,null,null,null,null
1994-04-07,null,null,null,null,null,null
1994-04-08,null,null,null,null,null,null
1994-04-11,null,null,null,null,null,null
1994-04-12,null,null,null,null,null,null
1994-04-13,null,null,null,null,null,null
1994-04-14,null,null,null,null,null,null
1994-04-15,null,null,null,null,null,null
1994-04-18,null,null,null,null,null,null
1994-04-19,null,null,null,null,null,null
1994-04-20,null,null,null,null,null,null
1994-04-21,null,null,null,null,null,null
1994-04-22,null,null,null,null,null,null
1994-04-25,null,null,null,null,null,null
1994-04-26,null,null,null,null,null,null
1994-04-27,null,null,null,null,null,null
1994-04-28,null,null,null,null,null,null
1994-04-29,8.238380,8.238380,8.238380,8.238380,2.463579,0
1994-05-02,null,null,null,null,null,null
1994-05-03,null,null,null,null,null,null
1994-05-04,null,null,null,null,null,null
1994-05-05,null,null,null,null,null,null
1994-05-06,null,null,null,null,null,null
1994-05-09,null,null,null,null,null,null
1994-05-10,null,null,null,null,null,null
1994-05-11,null,null,null,null,null,null
1994-05-12,null,null,null,null,null,null
1994-05-13,null,null,null,null,null,null
1994-05-16,null,null,null,null,null,null
1994-05-17,null,null,null,null,null,null
1994-05-18,null,null,null,null,null,null
1994-05-19,null,null,null,null,null,null
1994-05-20,null,null,null,null,null,null
1994-05-23,null,null,null,null,null,null
1994-05-24,null,null,null,null,null,null
1994-05-25,null,null,null,null,null,null
1994-05-26,null,null,null,null,null,null
1994-05-27,null,null,null,null,null,null
1994-05-30,null,null,null,null,null,null
1994-05-31,8.088220,8.088220,8.088220,8.088220,2.418676,0
1994-06-01,null,null,null,null,null,null
1994-06-02,null,null,null,null,null,null
1994-06-03,null,null,null,null,null,null
1994-06-06,null,null,null,null,null,null
1994-06-07,null,null,null,null,null,null
1994-06-08,null,null,null,null,null,null
1994-06-09,null,null,null,null,null,null
1994-06-10,null,null,null,null,null,null
1994-06-13,null,null,null,null,null,null
1994-06-14,null,null,null,null,null,null
1994-06-15,null,null,null,null,null,null
